Data,Wartość Całkowita (PLN),Wycena Akcji (PLN),Gotówka (PLN),Zysk (PLN)
2026-03-31,107466.94,85998.07,21468.87,0.0
2026-04-05,108804.64,88269.98,20534.66,1337.7
2026-04-12,110332.57,91105.8,19226.77,2865.63
2026-04-19,110854.52,92935.65,17918.87,3387.58
2026-04-26,110073.57,93462.59,16610.98,2606.63
2026-05-03,110269.56,94966.48,15303.08,2802.62
2026-05-10,112033.72,98038.53,13995.19,4566.78
2026-05-17,113724.13,101036.83,12687.3,6257.19
2026-05-24,115073.8,103694.4,11379.4,7606.86
2026-05-31,116142.14,106070.63,10071.51,8675.2
2026-06-07,115732.13,106968.51,8763.62,8265.19
2026-06-14,115587.42,108131.7,7455.72,8120.48
2026-06-21,116488.03,110340.2,6147.83,9021.09
2026-06-28,117511.14,112671.21,4839.93,10044.2
2026-06-30,118658.32,114192.07,4466.25,11191.38
2026-07-05,120458.12,116405.41,4052.71,12991.18
2026-07-12,122267.18,118793.43,3473.75,14800.24
2026-07-19,123520.05,120625.26,2894.79,16053.11
2026-07-26,124445.85,122130.02,2315.83,16978.91
2026-08-02,126552.04,124815.16,1736.88,19085.1
2026-08-09,129861.05,128703.13,1157.92,22394.11
2026-08-16,131579.47,131000.51,578.96,24112.53
2026-08-17,131839.08,131342.83,496.25,24372.14
2026-08-18,131720.52,131306.98,413.54,24253.58
2026-08-19,132057.87,131727.04,330.83,24590.93
2026-08-20,132334.59,132086.47,248.12,24867.65
2026-08-21,132215.71,132050.29,165.42,24748.77
2026-08-22,132646.24,132563.53,82.71,25179.3
2026-08-23,132692.06,132692.06,0.0,25225.12
